Date,_cached_page_id,_template,_type,url,Text
['2017-10-30 00:00:00'],619b94330050bfcd9f5ccc3663b5b73344e037be,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/why-sexual-assault-survivors-come-forward-all-at-once,
['2017-11-15 00:00:00'],de9788f0b0485b85f32a145d99af04091ec7e1d6,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/watch-100-year-olds-give-career-advice,
['2018-02-08 00:00:00'],71fe90b74b0e882803b86b7c2412ddcfe102498c,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/pink-makeup-looks,
['2017-12-05 00:00:00'],70808ee171e36c35dd0e2863362f2624d92397ce,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/victorias-secret-copied-pat-mcgrath-labs-packaging,
['2017-07-31 00:00:00'],4167fc8ac7a77a64b8eb4e1a1acd6e6657e9d5c6,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/giant-pimple-pop,
['2017-10-10 00:00:00'],25d1dd0301fb46ee1644928900d688107f0bd028,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/vampire-costume-makeup-tutorial,
['2018-03-15 00:00:00'],1a3efbf051a4f192dfdcfe9ee8f9bdda8a7ab421,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/purple-hair-color-trends-taro-bubble-tea-smoked-velvet,
['2018-03-26 00:00:00'],dff6d9b4998c233e5194ba4c4afaaa05fcbff986,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/kylie-jenner-lob-haircut,
['2017-04-04 00:00:00'],a0cf106ee6ce331a7e6661af7fcc46d3b560e3ef,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/equal-pay-day-twitter,
['2017-11-13 00:00:00'],f0819cc84e12bebb0bab1090e1f69d2cd8b07000,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/get-brighter-skin-vitamin-c,
['2018-01-18 00:00:00'],8c9c950ca633bf546a6b93f36674d5a733b208c5,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/ten-concealers-under-20,
['2018-01-23 00:00:00'],fa0742e8d77e8b091f01eb8da3b8533c0f5d7a3a,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/best-foundations-for-acne-prone-skin,
