"","Date","word"
"211",2017-09-05,"extract"
"212",2017-09-05,"extract"
"213",2017-09-05,"extract"
"214",2017-09-05,"extract"
"215",2017-09-05,"extract"
"216",2017-09-05,"extract"
"217",2017-09-05,"acid"
"218",2017-09-05,"acid"
"219",2017-09-05,"flower"
"220",2017-09-05,"flower"
"221",2017-09-05,"flower"
"222",2017-09-05,"flower"
"223",2017-09-05,"flower"
"224",2017-09-05,"extract"
"225",2017-09-05,"extract"
"226",2017-09-05,"extract"
"227",2017-09-05,"extract"
"228",2017-09-05,"aloe"
"229",2017-09-05,"leaf"
"230",2017-09-05,"leaf"
"231",2017-09-05,"leaf"
"232",2017-09-05,"leaf"
"233",2017-09-05,"leaf"
"234",2017-09-05,"leaf"
"235",2017-09-05,"leaf"
"236",2017-09-05,"leaf"
"237",2017-09-05,"leaf"
"238",2017-09-05,"leaf"
"239",2017-09-05,"leaf"
"240",2017-09-05,"extract"
"241",2017-09-05,"extract"
"242",2017-09-05,"extract"
"243",2017-09-05,"extract"
"244",2017-09-05,"fruit"
"245",2017-09-05,"fruit"
"246",2017-09-05,"extract"
"247",2017-09-05,"extract"
"248",2017-09-05,"extract"
"249",2017-09-05,"extract"
"250",2017-09-05,"extract"
"251",2017-09-05,"extract"
"252",2017-09-05,"extract"
"253",2017-09-05,"extract"
"254",2017-09-05,"extract"
"255",2017-09-05,"extract"
"256",2017-09-05,"extract"
"257",2017-09-05,"extract"
"258",2017-09-05,"white"
"259",2017-09-05,"white"
"260",2017-09-05,"white"
"261",2017-09-05,"white"
"262",2017-09-05,"white"
"263",2017-09-05,"white"
"264",2017-09-05,"white"
"265",2017-09-05,"white"
"266",2017-09-05,"white"
"267",2017-09-05,"white"
"268",2017-09-05,"white"
"269",2017-09-05,"white"
"270",2017-09-05,"white"
"271",2017-09-05,"white"
"272",2017-09-05,"white"
"273",2017-09-05,"white"
"274",2017-09-05,"white"
"275",2017-09-05,"white"
"276",2017-09-05,"white"
"277",2017-09-05,"common"
"278",2017-09-05,"common"
"279",2017-09-05,"common"
"280",2017-09-05,"common"
"281",2017-09-05,"common"
"282",2017-09-05,"common"
"283",2017-09-05,"common"
"284",2017-09-05,"common"
"285",2017-09-05,"common"
"286",2017-09-05,"common"
"287",2017-09-05,"oil"
"288",2017-09-05,"oil"
"289",2017-09-05,"oil"
"290",2017-09-05,"oil"
"291",2017-09-05,"oil"
"292",2017-09-05,"oil"
"293",2017-09-05,"oil"
"294",2017-09-05,"oil"
"295",2017-09-05,"oil"
"296",2017-09-05,"oil"
"297",2017-09-05,"oil"
"298",2017-09-05,"oil"
"299",2017-09-05,"oil"
"300",2017-09-05,"oil"
"301",2017-09-05,"oil"
"302",2017-09-05,"oil"
"303",2017-09-05,"oil"
"304",2017-09-05,"cape"
"305",2017-09-05,"cape"
"306",2017-09-05,"coconut"
"307",2017-09-05,"coconut"
"308",2017-09-05,"coconut"
"309",2017-09-05,"oil"
"310",2017-09-05,"oil"
"311",2017-09-05,"oil"
"312",2017-09-05,"oil"
"313",2017-09-05,"oil"
"314",2017-09-05,"oil"
"315",2017-09-05,"oil"
"316",2017-09-05,"oil"
"317",2017-09-05,"oil"
"318",2017-09-05,"oil"
"319",2017-09-05,"oil"
"320",2017-09-05,"oil"
